rank,name,lowercase,gender,source_name,source,source_priority,frequency_code,source_row
1,Pal,pal,M,Pal,Matthias Winkelmann / Jorg Michael firstname-database; India/Sri Lanka column,1,-2,
146,Tara,tara,F,Tara,Matthias Winkelmann / Jorg Michael firstname-database; India/Sri Lanka column,1,-6,
147,Teja,teja,M,Teja,Matthias Winkelmann / Jorg Michael firstname-database; India/Sri Lanka column,1,-6,
148,Veer,veer,M,Veer,Matthias Winkelmann / Jorg Michael firstname-database; India/Sri Lanka column,1,-6,
149,Abhay,abhay,M,Abhay,Matthias Winkelmann / Jorg Michael firstname-database; India/Sri Lanka column,1,-6,
150,Aditi,aditi,F,Aditi,Matthias Winkelmann / Jorg Michael firstname-database; India/Sri Lanka column,1,-6,
151,Ajmer,ajmer,M,Ajmer,Matthias Winkelmann / Jorg Michael firstname-database; India/Sri Lanka column,1,-6,
152,Aloke,aloke,M,Aloke,Matthias Winkelmann / Jorg Michael firstname-database; India/Sri Lanka column,1,-6,
153,Babli,babli,F,Babli,Matthias Winkelmann / Jorg Michael firstname-database; India/Sri Lanka column,1,-6,
154,Beant,beant,?M,Beant,Matthias Winkelmann / Jorg Michael firstname-database; India/Sri Lanka column,1,-6,
155,Bijoy,bijoy,M,Bijoy,Matthias Winkelmann / Jorg Michael firstname-database; India/Sri Lanka column,1,-6,
156,Bimla,bimla,F,Bimla,Matthias Winkelmann / Jorg Michael firstname-database; India/Sri Lanka column,1,-6,
157,Chand,chand,?M,Chand,Matthias Winkelmann / Jorg Michael firstname-database; India/Sri Lanka column,1,-6,
158,Charu,charu,F,Charu,Matthias Winkelmann / Jorg Michael firstname-database; India/Sri Lanka column,1,-6,
159,Dalip,dalip,M,Dalip,Matthias Winkelmann / Jorg Michael firstname-database; India/Sri Lanka column,1,-6,
160,Dhian,dhian,?,Dhian,Matthias Winkelmann / Jorg Michael firstname-database; India/Sri Lanka column,1,-6,
161,Didar,didar,M,Didar,Matthias Winkelmann / Jorg Michael firstname-database; India/Sri Lanka column,1,-6,
162,Dipak,dipak,M,Dipak,Matthias Winkelmann / Jorg Michael firstname-database; India/Sri Lanka column,1,-6,
163,Dolly,dolly,F,Dolly,Matthias Winkelmann / Jorg Michael firstname-database; India/Sri Lanka column,1,-6,
164,Gauri,gauri,F,Gauri,Matthias Winkelmann / Jorg Michael firstname-database; India/Sri Lanka column,1,-6,
165,Gouri,gouri,F,Gouri,Matthias Winkelmann / Jorg Michael firstname-database; India/Sri Lanka column,1,-6,
166,Gulab,gulab,M,Gulab,Matthias Winkelmann / Jorg Michael firstname-database; India/Sri Lanka column,1,-6,
167,Harsh,harsh,?,Harsh,Matthias Winkelmann / Jorg Michael firstname-database; India/Sri Lanka column,1,-6,
168,Heera,heera,F,Heera,Matthias Winkelmann / Jorg Michael firstname-database; India/Sri Lanka column,1,-6,
169,Jagir,jagir,M,Jagir,Matthias Winkelmann / Jorg Michael firstname-database; India/Sri Lanka column,1,-6,
170,James,james,M,James,Matthias Winkelmann / Jorg Michael firstname-database; India/Sri Lanka column,1,-6,
171,Karam,karam,M,Karam,Matthias Winkelmann / Jorg Michael firstname-database; India/Sri Lanka column,1,-6,
172,Kumud,kumud,?F,Kumud,Matthias Winkelmann / Jorg Michael firstname-database; India/Sri Lanka column,1,-6,
173,Leela,leela,F,Leela,Matthias Winkelmann / Jorg Michael firstname-database; India/Sri Lanka column,1,-6,
174,Mahua,mahua,F,Mahua,Matthias Winkelmann / Jorg Michael firstname-database; India/Sri Lanka column,1,-6,
175,Malti,malti,F,Malti,Matthias Winkelmann / Jorg Michael firstname-database; India/Sri Lanka column,1,-6,
176,Mehar,mehar,M,Mehar,Matthias Winkelmann / Jorg Michael firstname-database; India/Sri Lanka column,1,-6,
177,Mukta,mukta,F,Mukta,Matthias Winkelmann / Jorg Michael firstname-database; India/Sri Lanka column,1,-6,
178,Mukul,mukul,?M,Mukul,Matthias Winkelmann / Jorg Michael firstname-database; India/Sri Lanka column,1,-6,
179,Nagan,nagan,M,Nagan,Matthias Winkelmann / Jorg Michael firstname-database; India/Sri Lanka column,1,-6,
180,Naina,naina,F,Naina,Matthias Winkelmann / Jorg Michael firstname-database; India/Sri Lanka column,1,-6,
181,Neela,neela,F,Neela,Matthias Winkelmann / Jorg Michael firstname-database; India/Sri Lanka column,1,-6,
182,Nishi,nishi,F,Nishi,Matthias Winkelmann / Jorg Michael firstname-database; India/Sri Lanka column,1,-6,
183,Nupur,nupur,?F,Nupur,Matthias Winkelmann / Jorg Michael firstname-database; India/Sri Lanka column,1,-6,
184,Nutan,nutan,F,Nutan,Matthias Winkelmann / Jorg Michael firstname-database; India/Sri Lanka column,1,-6,
185,Onkar,onkar,M,Onkar,Matthias Winkelmann / Jorg Michael firstname-database; India/Sri Lanka column,1,-6,
186,Parul,parul,F,Parul,Matthias Winkelmann / Jorg Michael firstname-database; India/Sri Lanka column,1,-6,
187,Priti,priti,F,Priti,Matthias Winkelmann / Jorg Michael firstname-database; India/Sri Lanka column,1,-6,
188,Rahul,rahul,M,Rahul,Matthias Winkelmann / Jorg Michael firstname-database; India/Sri Lanka column,1,-6,
189,Reeta,reeta,F,Reeta,Matthias Winkelmann / Jorg Michael firstname-database; India/Sri Lanka column,1,-6,
190,Robin,robin,?,Robin,Matthias Winkelmann / Jorg Michael firstname-database; India/Sri Lanka column,1,-6,
191,Ruchi,ruchi,F,Ruchi,Matthias Winkelmann / Jorg Michael firstname-database; India/Sri Lanka column,1,-6,
192,Salil,salil,M,Salil,Matthias Winkelmann / Jorg Michael firstname-database; India/Sri Lanka column,1,-6,
193,Satya,satya,M,Satya,Matthias Winkelmann / Jorg Michael firstname-database; India/Sri Lanka column,1,-6,
194,Shyam,shyam,M,Shyam,Matthias Winkelmann / Jorg Michael firstname-database; India/Sri Lanka column,1,-6,
195,Sucha,sucha,M,Sucha,Matthias Winkelmann / Jorg Michael firstname-database; India/Sri Lanka column,1,-6,
196,Sukla,sukla,M,Sukla,Matthias Winkelmann / Jorg Michael firstname-database; India/Sri Lanka column,1,-6,
197,Surya,surya,M,Surya,Matthias Winkelmann / Jorg Michael firstname-database; India/Sri Lanka column,1,-6,
198,Swarn,swarn,?M,Swarn,Matthias Winkelmann / Jorg Michael firstname-database; India/Sri Lanka column,1,-6,
199,Sweta,sweta,F,Sweta,Matthias Winkelmann / Jorg Michael firstname-database; India/Sri Lanka column,1,-6,
200,Tapan,tapan,M,Tapan,Matthias Winkelmann / Jorg Michael firstname-database; India/Sri Lanka column,1,-6,
201,Ujjal,ujjal,M,Ujjal,Matthias Winkelmann / Jorg Michael firstname-database; India/Sri Lanka column,1,-6,
202,Vidya,vidya,?F,Vidya,Matthias Winkelmann / Jorg Michael firstname-database; India/Sri Lanka column,1,-6,
203,Vivek,vivek,M,Vivek,Matthias Winkelmann / Jorg Michael firstname-database; India/Sri Lanka column,1,-6,
204,Om,om,M,Om,Matthias Winkelmann / Jorg Michael firstname-database; India/Sri Lanka column,1,-7,
205,Dip,dip,M,Dip,Matthias Winkelmann / Jorg Michael firstname-database; India/Sri Lanka column,1,-7,
206,Ila,ila,F,Ila,Matthias Winkelmann / Jorg Michael firstname-database; India/Sri Lanka column,1,-7,
207,Jas,jas,M,Jas,Matthias Winkelmann / Jorg Michael firstname-database; India/Sri Lanka column,1,-7,
208,Alak,alak,M,Alak,Matthias Winkelmann / Jorg Michael firstname-database; India/Sri Lanka column,1,-7,
209,Amal,amal,M,Amal,Matthias Winkelmann / Jorg Michael firstname-database; India/Sri Lanka column,1,-7,
210,Arup,arup,M,Arup,Matthias Winkelmann / Jorg Michael firstname-database; India/Sri Lanka column,1,-7,
211,Asis,asis,M,Asis,Matthias Winkelmann / Jorg Michael firstname-database; India/Sri Lanka column,1,-7,
212,Bina,bina,F,Bina,Matthias Winkelmann / Jorg Michael firstname-database; India/Sri Lanka column,1,-7,
213,Gian,gian,M,Gian,Matthias Winkelmann / Jorg Michael firstname-database; India/Sri Lanka column,1,-7,
214,Hary,hary,M,Hary,Matthias Winkelmann / Jorg Michael firstname-database; India/Sri Lanka column,1,-7,
215,Hema,hema,F,Hema,Matthias Winkelmann / Jorg Michael firstname-database; India/Sri Lanka column,1,-7,
216,John,john,M,John,Matthias Winkelmann / Jorg Michael firstname-database; India/Sri Lanka column,1,-7,
217,Jude,jude,?M,Jude,Matthias Winkelmann / Jorg Michael firstname-database; India/Sri Lanka column,1,-7,
218,Juhi,juhi,F,Juhi,Matthias Winkelmann / Jorg Michael firstname-database; India/Sri Lanka column,1,-7,
219,Manu,manu,?,Manu,Matthias Winkelmann / Jorg Michael firstname-database; India/Sri Lanka column,1,-7,
220,Mina,mina,F,Mina,Matthias Winkelmann / Jorg Michael firstname-database; India/Sri Lanka column,1,-7,
221,Nani,nani,F,Nani,Matthias Winkelmann / Jorg Michael firstname-database; India/Sri Lanka column,1,-7,
222,Prit,prit,?M,Prit,Matthias Winkelmann / Jorg Michael firstname-database; India/Sri Lanka column,1,-7,
223,Raju,raju,M,Raju,Matthias Winkelmann / Jorg Michael firstname-database; India/Sri Lanka column,1,-7,
224,Rana,rana,M,Rana,Matthias Winkelmann / Jorg Michael firstname-database; India/Sri Lanka column,1,-7,
225,Rasa,rasa,M,Rasa,Matthias Winkelmann / Jorg Michael firstname-database; India/Sri Lanka column,1,-7,
226,Rina,rina,F,Rina,Matthias Winkelmann / Jorg Michael firstname-database; India/Sri Lanka column,1,-7,
227,Rosa,rosa,F,Rosa,Matthias Winkelmann / Jorg Michael firstname-database; India/Sri Lanka column,1,-7,
228,Rupa,rupa,F,Rupa,Matthias Winkelmann / Jorg Michael firstname-database; India/Sri Lanka column,1,-7,
229,Shan,shan,M,Shan,Matthias Winkelmann / Jorg Michael firstname-database; India/Sri Lanka column,1,-7,
230,Siri,siri,M,Siri,Matthias Winkelmann / Jorg Michael firstname-database; India/Sri Lanka column,1,-7,
231,Sita,sita,F,Sita,Matthias Winkelmann / Jorg Michael firstname-database; India/Sri Lanka column,1,-7,
232,Soma,soma,F,Soma,Matthias Winkelmann / Jorg Michael firstname-database; India/Sri Lanka column,1,-7,
233,Sona,sona,F,Sona,Matthias Winkelmann / Jorg Michael firstname-database; India/Sri Lanka column,1,-7,
234,Urmi,urmi,F,Urmi,Matthias Winkelmann / Jorg Michael firstname-database; India/Sri Lanka column,1,-7,
235,Viny,viny,?,Viny,Matthias Winkelmann / Jorg Michael firstname-database; India/Sri Lanka column,1,-7,
236,Akash,akash,M,Akash,Matthias Winkelmann / Jorg Michael firstname-database; India/Sri Lanka column,1,-7,
237,Amala,amala,F,Amala,Matthias Winkelmann / Jorg Michael firstname-database; India/Sri Lanka column,1,-7,
238,Anjan,anjan,?,Anjan,Matthias Winkelmann / Jorg Michael firstname-database; India/Sri Lanka column,1,-7,
239,Ankit,ankit,M,Ankit,Matthias Winkelmann / Jorg Michael firstname-database; India/Sri Lanka column,1,-7,
240,Arjun,arjun,M,Arjun,Matthias Winkelmann / Jorg Michael firstname-database; India/Sri Lanka column,1,-7,
241,Badri,badri,M,Badri,Matthias Winkelmann / Jorg Michael firstname-database; India/Sri Lanka column,1,-7,
