rank,name,lowercase,gender,source_name,source,source_priority,frequency_code,source_row
1038,Ikbal,ikbal,,ikbal,balasahebgulave/Dataset-Indian-Names Indian_Names.csv,2,,1984
1039,Ikrar,ikrar,,ikrar,balasahebgulave/Dataset-Indian-Names Indian_Names.csv,2,,1988
1040,Ilema,ilema,,ilema,balasahebgulave/Dataset-Indian-Names Indian_Names.csv,2,,1990
1041,Ilesh,ilesh,,ilesh,balasahebgulave/Dataset-Indian-Names Indian_Names.csv,2,,1991
1042,Ilma,ilma,,ilma,balasahebgulave/Dataset-Indian-Names Indian_Names.csv,2,,1992
1043,Ilyas,ilyas,,ilyas,balasahebgulave/Dataset-Indian-Names Indian_Names.csv,2,,1993
1044,Imam,imam,,imam,balasahebgulave/Dataset-Indian-Names Indian_Names.csv,2,,1994
1045,Imran,imran,,imran,balasahebgulave/Dataset-Indian-Names Indian_Names.csv,2,,1998
1046,Incee,incee,,incee,balasahebgulave/Dataset-Indian-Names Indian_Names.csv,2,,2005
1047,Inda,inda,,inda,balasahebgulave/Dataset-Indian-Names Indian_Names.csv,2,,2006
1048,Indal,indal,,indal,balasahebgulave/Dataset-Indian-Names Indian_Names.csv,2,,2007
1049,Inder,inder,,inder,balasahebgulave/Dataset-Indian-Names Indian_Names.csv,2,,2009
1050,Indta,indta,,indta,balasahebgulave/Dataset-Indian-Names Indian_Names.csv,2,,2021
1051,Injum,injum,,injum,balasahebgulave/Dataset-Indian-Names Indian_Names.csv,2,,2024
1052,Inkoo,inkoo,,inkoo,balasahebgulave/Dataset-Indian-Names Indian_Names.csv,2,,2025
1053,Insaf,insaf,,insaf,balasahebgulave/Dataset-Indian-Names Indian_Names.csv,2,,2026
1054,Iqbal,iqbal,,iqbal,balasahebgulave/Dataset-Indian-Names Indian_Names.csv,2,,2028
1055,Iqra,iqra,,iqra,balasahebgulave/Dataset-Indian-Names Indian_Names.csv,2,,2029
1056,Iqram,iqram,,iqram,balasahebgulave/Dataset-Indian-Names Indian_Names.csv,2,,2030
1057,Iqrar,iqrar,,iqrar,balasahebgulave/Dataset-Indian-Names Indian_Names.csv,2,,2031
1058,Iram,iram,,iram,balasahebgulave/Dataset-Indian-Names Indian_Names.csv,2,,2033
1059,Irfa,irfa,,irfa,balasahebgulave/Dataset-Indian-Names Indian_Names.csv,2,,2034
1060,Irfan,irfan,,irfan,balasahebgulave/Dataset-Indian-Names Indian_Names.csv,2,,2035
1061,Irsad,irsad,,irsad,balasahebgulave/Dataset-Indian-Names Indian_Names.csv,2,,2037
1062,Irtu,irtu,,irtu,balasahebgulave/Dataset-Indian-Names Indian_Names.csv,2,,2039
1063,Ish,ish,,ish,balasahebgulave/Dataset-Indian-Names Indian_Names.csv,2,,2040
1064,Isha,isha,,isha,balasahebgulave/Dataset-Indian-Names Indian_Names.csv,2,,2041
1065,Ishan,ishan,,ishan,balasahebgulave/Dataset-Indian-Names Indian_Names.csv,2,,2042
1066,Ishu,ishu,,ishu,balasahebgulave/Dataset-Indian-Names Indian_Names.csv,2,,2053
1067,Isika,isika,,isika,balasahebgulave/Dataset-Indian-Names Indian_Names.csv,2,,2057
1068,Islam,islam,,islam,balasahebgulave/Dataset-Indian-Names Indian_Names.csv,2,,2058
1069,Israr,israr,,israr,balasahebgulave/Dataset-Indian-Names Indian_Names.csv,2,,2064
1070,Iswar,iswar,,iswar,balasahebgulave/Dataset-Indian-Names Indian_Names.csv,2,,2070
1071,Iswer,iswer,,iswer,balasahebgulave/Dataset-Indian-Names Indian_Names.csv,2,,2071
1072,Jaanu,jaanu,,jaanu,balasahebgulave/Dataset-Indian-Names Indian_Names.csv,2,,2074
1073,Jabir,jabir,,jabir,balasahebgulave/Dataset-Indian-Names Indian_Names.csv,2,,2076
1074,Jacky,jacky,,jacky,balasahebgulave/Dataset-Indian-Names Indian_Names.csv,2,,2077
1075,Jacob,jacob,,jacob,balasahebgulave/Dataset-Indian-Names Indian_Names.csv,2,,2078
1076,Jadu,jadu,,jadu,balasahebgulave/Dataset-Indian-Names Indian_Names.csv,2,,2079
1077,Jafar,jafar,,jafar,balasahebgulave/Dataset-Indian-Names Indian_Names.csv,2,,2080
1078,Jag,jag,,jag,balasahebgulave/Dataset-Indian-Names Indian_Names.csv,2,,2084
1079,Jaga,jaga,,jaga,balasahebgulave/Dataset-Indian-Names Indian_Names.csv,2,,2085
1080,Jagan,jagan,,jagan,balasahebgulave/Dataset-Indian-Names Indian_Names.csv,2,,2086
1081,Jagat,jagat,,jagat,balasahebgulave/Dataset-Indian-Names Indian_Names.csv,2,,2087
1082,Jahid,jahid,,jahid,balasahebgulave/Dataset-Indian-Names Indian_Names.csv,2,,2109
1083,Jahir,jahir,,jahir,balasahebgulave/Dataset-Indian-Names Indian_Names.csv,2,,2110
1084,Jakh,jakh,,jakh,balasahebgulave/Dataset-Indian-Names Indian_Names.csv,2,,2141
1085,Jakir,jakir,,jakir,balasahebgulave/Dataset-Indian-Names Indian_Names.csv,2,,2142
1086,Jakra,jakra,,jakra,balasahebgulave/Dataset-Indian-Names Indian_Names.csv,2,,2143
1087,Jalil,jalil,,jalil,balasahebgulave/Dataset-Indian-Names Indian_Names.csv,2,,2145
1088,Jalmi,jalmi,,jalmi,balasahebgulave/Dataset-Indian-Names Indian_Names.csv,2,,2146
1089,Jamad,jamad,,jamad,balasahebgulave/Dataset-Indian-Names Indian_Names.csv,2,,2150
1090,Jamal,jamal,,jamal,balasahebgulave/Dataset-Indian-Names Indian_Names.csv,2,,2152
1091,Jamee,jamee,,jamee,balasahebgulave/Dataset-Indian-Names Indian_Names.csv,2,,2153
1092,Jamil,jamil,,jamil,balasahebgulave/Dataset-Indian-Names Indian_Names.csv,2,,2156
1093,Jamir,jamir,,jamir,balasahebgulave/Dataset-Indian-Names Indian_Names.csv,2,,2158
1094,Jamna,jamna,,jamna,balasahebgulave/Dataset-Indian-Names Indian_Names.csv,2,,2159
1095,Janak,janak,,janak,balasahebgulave/Dataset-Indian-Names Indian_Names.csv,2,,2164
1096,Janam,janam,,janam,balasahebgulave/Dataset-Indian-Names Indian_Names.csv,2,,2166
1097,Jang,jang,,jang,balasahebgulave/Dataset-Indian-Names Indian_Names.csv,2,,2170
1098,Jani,jani,,jani,balasahebgulave/Dataset-Indian-Names Indian_Names.csv,2,,2171
1099,Janid,janid,,janid,balasahebgulave/Dataset-Indian-Names Indian_Names.csv,2,,2172
1100,Janta,janta,,janta,balasahebgulave/Dataset-Indian-Names Indian_Names.csv,2,,2178
1101,Janvi,janvi,,janvi,balasahebgulave/Dataset-Indian-Names Indian_Names.csv,2,,2181
1102,Janwi,janwi,,janwi,balasahebgulave/Dataset-Indian-Names Indian_Names.csv,2,,2182
1103,Jarif,jarif,,jarif,balasahebgulave/Dataset-Indian-Names Indian_Names.csv,2,,2186
1104,Jarim,jarim,,jarim,balasahebgulave/Dataset-Indian-Names Indian_Names.csv,2,,2187
1105,Jasim,jasim,,jasim,balasahebgulave/Dataset-Indian-Names Indian_Names.csv,2,,2193
1106,Jassi,jassi,,jassi,balasahebgulave/Dataset-Indian-Names Indian_Names.csv,2,,2206
1107,Jat,jat,,jat,balasahebgulave/Dataset-Indian-Names Indian_Names.csv,2,,2215
1108,Jatan,jatan,,jatan,balasahebgulave/Dataset-Indian-Names Indian_Names.csv,2,,2216
1109,Jatin,jatin,,jatin,balasahebgulave/Dataset-Indian-Names Indian_Names.csv,2,,2217
1110,Jauli,jauli,,jauli,balasahebgulave/Dataset-Indian-Names Indian_Names.csv,2,,2219
1111,Javal,javal,,javal,balasahebgulave/Dataset-Indian-Names Indian_Names.csv,2,,2221
1112,Javed,javed,,javed,balasahebgulave/Dataset-Indian-Names Indian_Names.csv,2,,2222
1113,Javid,javid,,javid,balasahebgulave/Dataset-Indian-Names Indian_Names.csv,2,,2223
1114,Jawed,jawed,,jawed,balasahebgulave/Dataset-Indian-Names Indian_Names.csv,2,,2227
1115,Jay,jay,,jay,balasahebgulave/Dataset-Indian-Names Indian_Names.csv,2,,2229
1116,Jayda,jayda,,jayda,balasahebgulave/Dataset-Indian-Names Indian_Names.csv,2,,2234
1117,Jeba,jeba,,jeba,balasahebgulave/Dataset-Indian-Names Indian_Names.csv,2,,2243
1118,Jebi,jebi,,jebi,balasahebgulave/Dataset-Indian-Names Indian_Names.csv,2,,2244
1119,Jedu,jedu,,jedu,balasahebgulave/Dataset-Indian-Names Indian_Names.csv,2,,2245
1120,Jeet,jeet,,jeet,balasahebgulave/Dataset-Indian-Names Indian_Names.csv,2,,2250
1121,Jeete,jeete,,jeete,balasahebgulave/Dataset-Indian-Names Indian_Names.csv,2,,2251
1122,Jeeth,jeeth,,jeeth,balasahebgulave/Dataset-Indian-Names Indian_Names.csv,2,,2252
1123,Jeetu,jeetu,,jeetu,balasahebgulave/Dataset-Indian-Names Indian_Names.csv,2,,2254
1124,Jeeya,jeeya,,jeeya,balasahebgulave/Dataset-Indian-Names Indian_Names.csv,2,,2257
1125,Jenab,jenab,,jenab,balasahebgulave/Dataset-Indian-Names Indian_Names.csv,2,,2258
1126,Jeta,jeta,,jeta,balasahebgulave/Dataset-Indian-Names Indian_Names.csv,2,,2262
1127,Jewa,jewa,,jewa,balasahebgulave/Dataset-Indian-Names Indian_Names.csv,2,,2264
1128,Jhora,jhora,,jhora,balasahebgulave/Dataset-Indian-Names Indian_Names.csv,2,,2276
1129,Jhoti,jhoti,,jhoti,balasahebgulave/Dataset-Indian-Names Indian_Names.csv,2,,2277
1130,Jhuhi,jhuhi,,jhuhi,balasahebgulave/Dataset-Indian-Names Indian_Names.csv,2,,2278
1131,Jhuma,jhuma,,jhuma,balasahebgulave/Dataset-Indian-Names Indian_Names.csv,2,,2279
1132,Jigar,jigar,,jigar,balasahebgulave/Dataset-Indian-Names Indian_Names.csv,2,,2284
1133,Jile,jile,,jile,balasahebgulave/Dataset-Indian-Names Indian_Names.csv,2,,2285
1134,Jimi,jimi,,jimi,balasahebgulave/Dataset-Indian-Names Indian_Names.csv,2,,2286
1135,Jimmi,jimmi,,jimmi,balasahebgulave/Dataset-Indian-Names Indian_Names.csv,2,,2287
1136,Jina,jina,,jina,balasahebgulave/Dataset-Indian-Names Indian_Names.csv,2,,2288
1137,Jinat,jinat,,jinat,balasahebgulave/Dataset-Indian-Names Indian_Names.csv,2,,2289
1138,Jincy,jincy,,jincy,balasahebgulave/Dataset-Indian-Names Indian_Names.csv,2,,2290
1139,Jioty,jioty,,jioty,balasahebgulave/Dataset-Indian-Names Indian_Names.csv,2,,2291
1140,Jisan,jisan,,jisan,balasahebgulave/Dataset-Indian-Names Indian_Names.csv,2,,2293
1141,Jism,jism,,jism,balasahebgulave/Dataset-Indian-Names Indian_Names.csv,2,,2296
1142,Jisu,jisu,,jisu,balasahebgulave/Dataset-Indian-Names Indian_Names.csv,2,,2297
1143,Jitan,jitan,,jitan,balasahebgulave/Dataset-Indian-Names Indian_Names.csv,2,,2299
1144,Jite,jite,,jite,balasahebgulave/Dataset-Indian-Names Indian_Names.csv,2,,2301
1145,Jitin,jitin,,jitin,balasahebgulave/Dataset-Indian-Names Indian_Names.csv,2,,2307
1146,Jitu,jitu,,jitu,balasahebgulave/Dataset-Indian-Names Indian_Names.csv,2,,2309
1147,Jiya,jiya,,jiya,balasahebgulave/Dataset-Indian-Names Indian_Names.csv,2,,2311
1148,Job,job,,job,balasahebgulave/Dataset-Indian-Names Indian_Names.csv,2,,2313
1149,Jodhi,jodhi,,jodhi,balasahebgulave/Dataset-Indian-Names Indian_Names.csv,2,,2315
1150,Joity,joity,,joity,balasahebgulave/Dataset-Indian-Names Indian_Names.csv,2,,2320
1151,Jon,jon,,jon,balasahebgulave/Dataset-Indian-Names Indian_Names.csv,2,,2322
1152,Joni,joni,,joni,balasahebgulave/Dataset-Indian-Names Indian_Names.csv,2,,2323
1153,Jony,jony,,jony,balasahebgulave/Dataset-Indian-Names Indian_Names.csv,2,,2324
1154,Joohi,joohi,,joohi,balasahebgulave/Dataset-Indian-Names Indian_Names.csv,2,,2325
1155,Joria,joria,,joria,balasahebgulave/Dataset-Indian-Names Indian_Names.csv,2,,2326
1156,Jorj,jorj,,jorj,balasahebgulave/Dataset-Indian-Names Indian_Names.csv,2,,2327
1157,Josin,josin,,josin,balasahebgulave/Dataset-Indian-Names Indian_Names.csv,2,,2329
1158,Jot,jot,,jot,balasahebgulave/Dataset-Indian-Names Indian_Names.csv,2,,2330
1159,Jotyi,jotyi,,jotyi,balasahebgulave/Dataset-Indian-Names Indian_Names.csv,2,,2331
1160,Joya,joya,,joya,balasahebgulave/Dataset-Indian-Names Indian_Names.csv,2,,2333
1161,Joyaa,joyaa,,joyaa,balasahebgulave/Dataset-Indian-Names Indian_Names.csv,2,,2334
1162,Joyti,joyti,,joyti,balasahebgulave/Dataset-Indian-Names Indian_Names.csv,2,,2338
1163,Jubed,jubed,,jubed,balasahebgulave/Dataset-Indian-Names Indian_Names.csv,2,,2340
1164,Juber,juber,,juber,balasahebgulave/Dataset-Indian-Names Indian_Names.csv,2,,2342
1165,Jugal,jugal,,jugal,balasahebgulave/Dataset-Indian-Names Indian_Names.csv,2,,2343
1166,Jugan,jugan,,jugan,balasahebgulave/Dataset-Indian-Names Indian_Names.csv,2,,2344
1167,Julee,julee,,julee,balasahebgulave/Dataset-Indian-Names Indian_Names.csv,2,,2349
1168,Julfi,julfi,,julfi,balasahebgulave/Dataset-Indian-Names Indian_Names.csv,2,,2351
1169,Juli,juli,,juli,balasahebgulave/Dataset-Indian-Names Indian_Names.csv,2,,2354
1170,Jully,jully,,jully,balasahebgulave/Dataset-Indian-Names Indian_Names.csv,2,,2355
1171,Juna,juna,,juna,balasahebgulave/Dataset-Indian-Names Indian_Names.csv,2,,2358
1172,Juneb,juneb,,juneb,balasahebgulave/Dataset-Indian-Names Indian_Names.csv,2,,2360
1173,Junl,junl,,junl,balasahebgulave/Dataset-Indian-Names Indian_Names.csv,2,,2361
1174,Junna,junna,,junna,balasahebgulave/Dataset-Indian-Names Indian_Names.csv,2,,2362
1175,Juvel,juvel,,juvel,balasahebgulave/Dataset-Indian-Names Indian_Names.csv,2,,2364
1176,Jwala,jwala,,jwala,balasahebgulave/Dataset-Indian-Names Indian_Names.csv,2,,2365
1177,Jya,jya,,jya,balasahebgulave/Dataset-Indian-Names Indian_Names.csv,2,,2366
1178,Jyoty,jyoty,,jyoty,balasahebgulave/Dataset-Indian-Names Indian_Names.csv,2,,2369
1179,Kaari,kaari,,kaari,balasahebgulave/Dataset-Indian-Names Indian_Names.csv,2,,2371
1180,Kabid,kabid,,kabid,balasahebgulave/Dataset-Indian-Names Indian_Names.csv,2,,2374
1181,Kabir,kabir,,kabir,balasahebgulave/Dataset-Indian-Names Indian_Names.csv,2,,2375
1182,Kabul,kabul,,kabul,balasahebgulave/Dataset-Indian-Names Indian_Names.csv,2,,2376
1183,Kadir,kadir,,kadir,balasahebgulave/Dataset-Indian-Names Indian_Names.csv,2,,2379
1184,Kadu,kadu,,kadu,balasahebgulave/Dataset-Indian-Names Indian_Names.csv,2,,2380
1185,Kafia,kafia,,kafia,balasahebgulave/Dataset-Indian-Names Indian_Names.csv,2,,2381
1186,Kaif,kaif,,kaif,balasahebgulave/Dataset-Indian-Names Indian_Names.csv,2,,2382
1187,Kajar,kajar,,kajar,balasahebgulave/Dataset-Indian-Names Indian_Names.csv,2,,2391
1188,Kajol,kajol,,kajol,balasahebgulave/Dataset-Indian-Names Indian_Names.csv,2,,2392
1189,Kajul,kajul,,kajul,balasahebgulave/Dataset-Indian-Names Indian_Names.csv,2,,2393
1190,Kalap,kalap,,kalap,balasahebgulave/Dataset-Indian-Names Indian_Names.csv,2,,2395
1191,Kale,kale,,kale,balasahebgulave/Dataset-Indian-Names Indian_Names.csv,2,,2400
1192,Kali,kali,,kali,balasahebgulave/Dataset-Indian-Names Indian_Names.csv,2,,2403
1193,Kalip,kalip,,kalip,balasahebgulave/Dataset-Indian-Names Indian_Names.csv,2,,2405
1194,Kalla,kalla,,kalla,balasahebgulave/Dataset-Indian-Names Indian_Names.csv,2,,2407
1195,Kallo,kallo,,kallo,balasahebgulave/Dataset-Indian-Names Indian_Names.csv,2,,2408
1196,Kallu,kallu,,kallu,balasahebgulave/Dataset-Indian-Names Indian_Names.csv,2,,2409
1197,Kalma,kalma,,kalma,balasahebgulave/Dataset-Indian-Names Indian_Names.csv,2,,2410
1198,Kaloo,kaloo,,kaloo,balasahebgulave/Dataset-Indian-Names Indian_Names.csv,2,,2411
1199,Kalu,kalu,,kalu,balasahebgulave/Dataset-Indian-Names Indian_Names.csv,2,,2417
1200,Kalua,kalua,,kalua,balasahebgulave/Dataset-Indian-Names Indian_Names.csv,2,,2418
1201,Kamar,kamar,,kamar,balasahebgulave/Dataset-Indian-Names Indian_Names.csv,2,,2432
1202,Kamil,kamil,,kamil,balasahebgulave/Dataset-Indian-Names Indian_Names.csv,2,,2434
1203,Kamli,kamli,,kamli,balasahebgulave/Dataset-Indian-Names Indian_Names.csv,2,,2442
1204,Kamna,kamna,,kamna,balasahebgulave/Dataset-Indian-Names Indian_Names.csv,2,,2443
1205,Kamni,kamni,,kamni,balasahebgulave/Dataset-Indian-Names Indian_Names.csv,2,,2444
1206,Kamre,kamre,,kamre,balasahebgulave/Dataset-Indian-Names Indian_Names.csv,2,,2446
1207,Kamta,kamta,,kamta,balasahebgulave/Dataset-Indian-Names Indian_Names.csv,2,,2451
1208,Kana,kana,,kana,balasahebgulave/Dataset-Indian-Names Indian_Names.csv,2,,2452
1209,Kanak,kanak,,kanak,balasahebgulave/Dataset-Indian-Names Indian_Names.csv,2,,2454
1210,Kanda,kanda,,kanda,balasahebgulave/Dataset-Indian-Names Indian_Names.csv,2,,2459
1211,Kanki,kanki,,kanki,balasahebgulave/Dataset-Indian-Names Indian_Names.csv,2,,2470
1212,Kanku,kanku,,kanku,balasahebgulave/Dataset-Indian-Names Indian_Names.csv,2,,2471
1213,Kanok,kanok,,kanok,balasahebgulave/Dataset-Indian-Names Indian_Names.csv,2,,2472
1214,Kanya,kanya,,kanya,balasahebgulave/Dataset-Indian-Names Indian_Names.csv,2,,2477
1215,Karim,karim,,karim,balasahebgulave/Dataset-Indian-Names Indian_Names.csv,2,,2488
1216,Karmi,karmi,,karmi,balasahebgulave/Dataset-Indian-Names Indian_Names.csv,2,,2497
1217,Kashi,kashi,,kashi,balasahebgulave/Dataset-Indian-Names Indian_Names.csv,2,,2507
1218,Kasid,kasid,,kasid,balasahebgulave/Dataset-Indian-Names Indian_Names.csv,2,,2514
1219,Kasim,kasim,,kasim,balasahebgulave/Dataset-Indian-Names Indian_Names.csv,2,,2515
1220,Katwa,katwa,,katwa,balasahebgulave/Dataset-Indian-Names Indian_Names.csv,2,,2520
1221,Kauva,kauva,,kauva,balasahebgulave/Dataset-Indian-Names Indian_Names.csv,2,,2529
1222,Kaval,kaval,,kaval,balasahebgulave/Dataset-Indian-Names Indian_Names.csv,2,,2530
1223,Kavit,kavit,,kavit,balasahebgulave/Dataset-Indian-Names Indian_Names.csv,2,,2532
1224,Kawa,kawa,,kawa,balasahebgulave/Dataset-Indian-Names Indian_Names.csv,2,,2534
1225,Kawal,kawal,,kawal,balasahebgulave/Dataset-Indian-Names Indian_Names.csv,2,,2535
1226,Kayum,kayum,,kayum,balasahebgulave/Dataset-Indian-Names Indian_Names.csv,2,,2539
1227,Kazal,kazal,,kazal,balasahebgulave/Dataset-Indian-Names Indian_Names.csv,2,,2540
1228,Kbeta,kbeta,,kbeta,balasahebgulave/Dataset-Indian-Names Indian_Names.csv,2,,2541
1229,Kela,kela,,kela,balasahebgulave/Dataset-Indian-Names Indian_Names.csv,2,,2546
1230,Keli,keli,,keli,balasahebgulave/Dataset-Indian-Names Indian_Names.csv,2,,2549
1231,Kesar,kesar,,kesar,balasahebgulave/Dataset-Indian-Names Indian_Names.csv,2,,2550
1232,Kesav,kesav,,kesav,balasahebgulave/Dataset-Indian-Names Indian_Names.csv,2,,2551
1233,Kesha,kesha,,kesha,balasahebgulave/Dataset-Indian-Names Indian_Names.csv,2,,2553
1234,Keshu,keshu,,keshu,balasahebgulave/Dataset-Indian-Names Indian_Names.csv,2,,2560
1235,Kesri,kesri,,kesri,balasahebgulave/Dataset-Indian-Names Indian_Names.csv,2,,2562
1236,Keta,keta,,keta,balasahebgulave/Dataset-Indian-Names Indian_Names.csv,2,,2563
1237,Ketan,ketan,,ketan,balasahebgulave/Dataset-Indian-Names Indian_Names.csv,2,,2564
1238,Keval,keval,,keval,balasahebgulave/Dataset-Indian-Names Indian_Names.csv,2,,2565
1239,Kheem,kheem,,kheem,balasahebgulave/Dataset-Indian-Names Indian_Names.csv,2,,2580
1240,Khima,khima,,khima,balasahebgulave/Dataset-Indian-Names Indian_Names.csv,2,,2585
1241,Khubi,khubi,,khubi,balasahebgulave/Dataset-Indian-Names Indian_Names.csv,2,,2592
1242,Khuma,khuma,,khuma,balasahebgulave/Dataset-Indian-Names Indian_Names.csv,2,,2593
1243,Khush,khush,,khush,balasahebgulave/Dataset-Indian-Names Indian_Names.csv,2,,2604
1244,Killo,killo,,killo,balasahebgulave/Dataset-Indian-Names Indian_Names.csv,2,,2617
1245,Kimat,kimat,,kimat,balasahebgulave/Dataset-Indian-Names Indian_Names.csv,2,,2618
1246,Kimmi,kimmi,,kimmi,balasahebgulave/Dataset-Indian-Names Indian_Names.csv,2,,2619
1247,Kinya,kinya,,kinya,balasahebgulave/Dataset-Indian-Names Indian_Names.csv,2,,2622
1248,Kirpa,kirpa,,kirpa,balasahebgulave/Dataset-Indian-Names Indian_Names.csv,2,,2630
1249,Kisan,kisan,,kisan,balasahebgulave/Dataset-Indian-Names Indian_Names.csv,2,,2637
1250,Kishn,kishn,,kishn,balasahebgulave/Dataset-Indian-Names Indian_Names.csv,2,,2641
1251,Kitti,kitti,,kitti,balasahebgulave/Dataset-Indian-Names Indian_Names.csv,2,,2649
1252,Klash,klash,,klash,balasahebgulave/Dataset-Indian-Names Indian_Names.csv,2,,2650
1253,Klu,klu,,klu,balasahebgulave/Dataset-Indian-Names Indian_Names.csv,2,,2651
1254,Km,km,,km0,balasahebgulave/Dataset-Indian-Names Indian_Names.csv,2,,2652
1255,Kmles,kmles,,kmles,balasahebgulave/Dataset-Indian-Names Indian_Names.csv,2,,2653
1256,Kmo,kmo,,kmo,balasahebgulave/Dataset-Indian-Names Indian_Names.csv,2,,2654
1257,Koilu,koilu,,koilu,balasahebgulave/Dataset-Indian-Names Indian_Names.csv,2,,2657
1258,Kokil,kokil,,kokil,balasahebgulave/Dataset-Indian-Names Indian_Names.csv,2,,2658
1259,Komal,komal,,komal,balasahebgulave/Dataset-Indian-Names Indian_Names.csv,2,,2660
1260,Konti,konti,,konti,balasahebgulave/Dataset-Indian-Names Indian_Names.csv,2,,2662
1261,Kooki,kooki,,kooki,balasahebgulave/Dataset-Indian-Names Indian_Names.csv,2,,2663
1262,Kosar,kosar,,kosar,balasahebgulave/Dataset-Indian-Names Indian_Names.csv,2,,2666
1263,Koyal,koyal,,koyal,balasahebgulave/Dataset-Indian-Names Indian_Names.csv,2,,2674
1264,Krish,krish,,krish,balasahebgulave/Dataset-Indian-Names Indian_Names.csv,2,,2682
1265,Kriti,kriti,,kriti,balasahebgulave/Dataset-Indian-Names Indian_Names.csv,2,,2692
1266,Kulli,kulli,,kulli,balasahebgulave/Dataset-Indian-Names Indian_Names.csv,2,,2701
1267,Kumod,kumod,,kumod,balasahebgulave/Dataset-Indian-Names Indian_Names.csv,2,,2714
1268,Kunal,kunal,,kunal,balasahebgulave/Dataset-Indian-Names Indian_Names.csv,2,,2717
1269,Kunda,kunda,,kunda,balasahebgulave/Dataset-Indian-Names Indian_Names.csv,2,,2718
1270,Kunj,kunj,,kunj,balasahebgulave/Dataset-Indian-Names Indian_Names.csv,2,,2722
1271,Kunod,kunod,,kunod,balasahebgulave/Dataset-Indian-Names Indian_Names.csv,2,,2723
